id,name,description,icon,created_at,updated_at
0,Default,Default,,,
1,roter Hut,emotionales Denken,RedHatIcon,,
2,blauer Hut,ordnendes Denken,BlueHatIcon,,
3,grüner Hut,kreatives Denken,GreenHatIcon,,
4,schwarzer Hut,Kritisches Denken,BlackHatIcon,,
5,weißer Hut,analytisches Denken,WhiteHatIcon,,
6,gelber Hut,optimistisches Denken,YellowHatIcon,,
10,Stern,Neutral,StarIcon,,
11,Kreis,Neutral,CircleIcon,,
12,Ring,Neutral,RingIcon,,
13,Quadrat,Neutral,SquareIcon,,
14,Dreieck,Neutral,TriangleIcon,,
15,Blatt,Neutral,LeafIcon,,
16,Schneeflocke,Neutral,SnowflakeIcon,,
17,Tropfen,Neutral,DropIcon,,
18,Wolke,Neutral,CloudIcon,,
19,Regenschirm,Neutral,UmbrellaIcon,,
20,Schmetterling,Neutral,ButterflyIcon,,
21,Apfel,Neutral,AppleIcon,,
22,Kegel,Neutral,BowlingIcon,,
23,Elefant,Neutral,ElephantIcon,,
24,Ananas,Neutral,PineappleIcon,,
25,Besen,Neutral,BroomIcon,,
26,Note,Neutral,ClefIcon,,
27,Puzzle,Neutral,PuzzleIcon,,
